timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574213628848,31,Bot Service: Message Attractor,,,Bot Thread Group 1-13,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,129,0,14,14,null,0,0,0
1574213327499,302006,Bot Service: Message Blind Spots,,,Bot Thread Group 1-30,text,false,Test failed: text expected to contain /Random Point generated/,128,0,13,13,null,0,0,0
1574213629506,25,Bot Service: Message No,,,Bot Thread Group 1-30,text,false,Test failed: text expected to contain /What would you like to get/check?/,341,0,13,13,null,0,0,0
1574213629531,21,Bot Service: Message Attractor,,,Bot Thread Group 1-30,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,341,0,13,13,null,0,0,0
1574213326470,305580,Bot Service: Message Blind Spots,,,Bot Thread Group 1-44,text,false,Test failed: text expected to contain /Random Point generated/,128,0,12,12,null,0,0,0
1574213632050,44,Bot Service: Message No,,,Bot Thread Group 1-44,text,true,,849,0,12,12,null,0,0,0
1574213632094,743,Bot Service: Message Attractor,,,Bot Thread Group 1-44,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,12,12,null,0,0,0
1574213324406,308505,Bot Service: Message Blind Spots,,,Bot Thread Group 1-23,text,false,Test failed: text expected to contain /Random Point generated/,128,0,11,11,null,0,0,0
1574213324332,308612,Bot Service: Message Blind Spots,,,Bot Thread Group 1-19,text,false,Test failed: text expected to contain /Random Point generated/,128,0,11,11,null,0,0,0
1574213632911,40,Bot Service: Message No,,,Bot Thread Group 1-23,text,true,,850,0,11,11,null,0,0,0
1574213328654,304789,Bot Service: Message Blind Spots,,,Bot Thread Group 1-27,text,false,Test failed: text expected to contain /Random Point generated/,128,0,11,11,null,0,0,0
1574213632952,904,Bot Service: Message Attractor,,,Bot Thread Group 1-23,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,11,11,null,0,0,0
1574213632944,923,Bot Service: Message No,,,Bot Thread Group 1-19,text,true,,850,0,10,10,null,0,0,0
1574213633443,433,Bot Service: Message No,,,Bot Thread Group 1-27,text,true,,849,0,10,10,null,0,0,0
1574213327566,306958,Bot Service: Message Blind Spots,,,Bot Thread Group 1-20,text,false,Test failed: text expected to contain /Random Point generated/,128,0,10,10,null,0,0,0
1574213633867,972,Bot Service: Message Attractor,,,Bot Thread Group 1-19,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,10,10,null,0,0,0
1574213332955,302365,Bot Service: Message Blind Spots,,,Bot Thread Group 1-41,text,false,Test failed: text expected to contain /Random Point generated/,128,0,9,9,null,0,0,0
1574213331301,304471,Bot Service: Message Blind Spots,,,Bot Thread Group 1-7,text,false,Test failed: text expected to contain /Random Point generated/,128,0,9,9,null,0,0,0
1574213331228,304546,Bot Service: Message Blind Spots,,,Bot Thread Group 1-42,text,false,Test failed: text expected to contain /Random Point generated/,128,0,9,9,null,0,0,0
1574213633877,1963,Bot Service: Message Attractor,,,Bot Thread Group 1-27,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,9,9,null,0,0,0
1574213635772,101,Bot Service: Message No,,,Bot Thread Group 1-7,text,false,Test failed: text expected to contain /What would you like to get/check?/,340,0,8,8,null,0,0,0
1574213635774,106,Bot Service: Message No,,,Bot Thread Group 1-42,text,false,Test failed: text expected to contain /What would you like to get/check?/,341,0,8,8,null,0,0,0
1574213635320,567,Bot Service: Message No,,,Bot Thread Group 1-41,text,true,,848,0,8,8,null,0,0,0
1574213634524,1369,Bot Service: Message No,,,Bot Thread Group 1-20,text,true,,848,0,8,8,null,0,0,0
1574213635873,27,Bot Service: Message Attractor,,,Bot Thread Group 1-7,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,340,0,8,8,null,0,0,0
1574213635880,26,Bot Service: Message Attractor,,,Bot Thread Group 1-42,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,341,0,7,7,null,0,0,0
1574213635887,953,Bot Service: Message Attractor,,,Bot Thread Group 1-41,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,129,0,6,6,null,0,0,0
1574213635893,1946,Bot Service: Message Attractor,,,Bot Thread Group 1-20,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,129,0,5,5,null,0,0,0
1574213334743,304176,Bot Service: Message Blind Spots,,,Bot Thread Group 1-15,text,false,Test failed: text expected to contain /Random Point generated/,128,0,4,4,null,0,0,0
1574213335749,303741,Bot Service: Message Blind Spots,,,Bot Thread Group 1-43,text,false,Test failed: text expected to contain /Random Point generated/,128,0,4,4,null,0,0,0
1574213639490,457,Bot Service: Message No,,,Bot Thread Group 1-43,text,false,Test failed: text expected to contain /What would you like to get/check?/,340,0,4,4,null,0,0,0
1574213638919,1029,Bot Service: Message No,,,Bot Thread Group 1-15,text,true,,849,0,4,4,null,0,0,0
1574213639948,21,Bot Service: Message Attractor,,,Bot Thread Group 1-43,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,340,0,4,4,null,0,0,0
1574213330134,309836,Bot Service: Message Blind Spots,,,Bot Thread Group 1-50,text,false,Test failed: text expected to contain /Random Point generated/,128,0,3,3,null,0,0,0
1574213330090,309923,Bot Service: Message Blind Spots,,,Bot Thread Group 1-39,text,false,Test failed: text expected to contain /Random Point generated/,128,0,3,3,null,0,0,0
1574213639948,981,Bot Service: Message Attractor,,,Bot Thread Group 1-15,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,3,3,null,0,0,0
1574213639970,992,Bot Service: Message No,,,Bot Thread Group 1-50,text,true,,849,0,2,2,null,0,0,0
1574213640014,950,Bot Service: Message No,,,Bot Thread Group 1-39,text,true,,850,0,2,2,null,0,0,0
1574213640963,1967,Bot Service: Message Attractor,,,Bot Thread Group 1-50,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,2,2,null,0,0,0
1574213640964,1966,Bot Service: Message Attractor,,,Bot Thread Group 1-39,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,2,2,null,0,0,0
